1/25/2018, , ,84.85,Will Barton,SG/SF,$5800,1, ,DEN,NYK,30.9,43.3,18.5,3.84,5.3,20.58,34.3,36,40,27.06,0,0.95,0.89,15.8,21.4,5,0,93%,1.65,-0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.536,2.2,0.247,58,1.48, ,3,109.3,103.8,0,-5.5,213,65,27.6,$0,78%,42%,21%,14,28.9,1.1,$500,72%,37%,27%,74,
1/25/2018, , ,78.4,Mason Plumlee,PF/C,$4400, , ,DEN,NYK,22.4,36.9,7.9,2.34,5.1,14.94,27.6,21,25,20.06,0,0.99,1.02,15.99,17.1,3,0,90%,3.74,-0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.551,4.1,0.203,34,1.83, ,3,109.3,103.8,0,-5.5,213,65,22.5,$0,78%,28%,21%,14,22.8,1.8,$700,78%,42%,20%,82,
1/25/2018, , ,74.1,John Wall,PG,$8500,1, ,WAS,@OKC,41.8,56.9,26.7,1.23,4.9,30.74,36.8,26,30,40.57,0,1.22,1.22,19.42,29.9,10,0,98%,1.33,-1.6,-0.4&nbsp;Cutler  Garretson  Zarba,0.508,2,0.241,80,2.52, ,3,104.8,109.8,0.5,5,214.5,32,44.5,$-400,76%,61%,23%,13,46.9,0.4,$-1300,83%,47%,16%,84,
1/25/2018, , ,71.65,Steven Adams,C,$6600, , ,OKC,WAS,32.5,51.8,13.2,1.44,4.9,18.79,31.9,21,25,31.06,0,0.95,1.01,21.61,16,5,1,93%,4.39,1.6,-0.4&nbsp;Cutler  Garretson  Zarba,0.638,3.2,0.382,35,2.04, ,2,109.8,104.8,0.5,-5,214.5,68,31,$900,76%,38%,23%,13,27.7,2.3,$900,82%,39%,17%,84,
1/25/2018, , ,71.45,Draymond Green,PF/C,$7500, , ,GSW,MIN,36.8,49.5,24.1,1.23,4.9,18.88,35.5,26,30,35.57,0,1.16,1.24,17.36,18.1,8,1,90%,0.81,-4.7,-0.4&nbsp;Boland  Davis  Twardoski,0.575,2.8,0.147,77,3.04, ,2,119.3,108.3,-0.5,-11,227.5,52,39.9,$0,76%,53%,23%,13,37.5,1.5,$500,75%,40%,24%,86,
1/25/2018, , ,68.75,Nikola Jokic,C,$8900, , ,DEN,NYK,43.1,58.3,27.9,0.53,4.8,23.87,33.4,26,30,42.57,0,1.31,1.28,22.34,24.1,8,0,95%,3.6,-0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.569,3.1,0.2,80,1.84, ,3,109.3,103.8,0,-5.5,213,65,42.8,$1000,78%,42%,21%,14,43.2,0,$-200,72%,43%,27%,73,
1/25/2018, , ,67.55,Hassan Whiteside,C,$8400, , ,MIA,SAC,40.6,67.3,13.9,0.53,4.8,24.73,29.7,21,25,40.07,0,1.38,1.39,25.62,22.4,6,0,97%,5.53,0.3,-0.6&nbsp;Guthrie  Washington  Workman,0.601,3,0.439,33,2.75, ,3,104.8,95.8,-1,-9,200.5,52,35.3,$1300,71%,35%,28%,14,39.1,2,$900,76%,46%,23%,65,
1/25/2018, , ,66.5,Josh Richardson,SG/SF,$6300, , ,MIA,SAC,29.9,40.8,19,0.34,4.7,18.82,36.3,17,20,29.56,0,0.74,0.83,12.3,17.4,3,0,66%,0.72,0.3,-0.6&nbsp;Guthrie  Washington  Workman,0.551,2.9,0.225,57,2.25, ,3,104.8,95.8,-1,-9,200.5,52,29.8,$-500,76%,15%,23%,13,23.8,0.5,$1900,71%,28%,28%,71,
1/25/2018, , ,66.25,Andre Roberson,SG/SF,$3800, , ,OKC,WAS,18.1,29.1,7.1,1.04,4.8,6.94,30.2,17,20,17.06,0,0.62,0.7,10.89,8.9,5,1,95%,2.28,1.6,-0.4&nbsp;Cutler  Garretson  Zarba,0.536,3.1,0.199,24,2.19, ,2,109.8,104.8,0.5,-5,214.5,68,20.5,$100,80%,80%,20%,5,19,2.6,$100,86%,55%,13%,76,
1/25/2018, , ,66.1,Enes Kanter,PF/C,$6000, , ,NYK,@DEN,28.9,48.8,9,0.84,4.8,20.96,26.9,21,25,28.06,0,1.19,1.15,23.49,20.6,4,1,47%,1.43,0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.631,3.6,0.272,50,0.9,1A,2,103.8,109.3,-1,5.5,213,35,27.3,$-800,60%,40%,40%,15,26.7,0.6,$400,67%,35%,32%,77,
1/25/2018, , ,65.9,Willie Cauley-Stein,C,$6500, , ,SAC,@MIA,31.1,49.4,12.8,0.54,4.8,23.23,33,17,20,30.56,0,1.02,1.11,17.83,21.1,10,1,98%,2.44,-0.3,-0.6&nbsp;Guthrie  Washington  Workman,0.529,3,0.23,54,1.84, ,2,95.8,104.8,0,9,200.5,48,33.9,$1000,80%,53%,20%,15,27,3.3,$600,80%,42%,19%,82,
1/25/2018, , ,65.1,Klay Thompson,SG,$6300, , ,GSW,MIN,29.8,42.6,17,0.24,4.7,20.4,35.4,21,25,29.56,0,0.95,0.86,16.66,22.1,5,1,55%,2.28,-4.7,-0.4&nbsp;Boland  Davis  Twardoski,0.601,1.8,0.412,49,1.34, ,2,119.3,108.3,-0.5,-11,227.5,52,29.8,$-400,61%,30%,30%,13,32.6,0.9,$100,77%,32%,19%,93,
1/25/2018, , ,65,Gary Harris,SG,$6300, , ,DEN,NYK,29.5,43.7,15.3,-0.06,4.7,20.47,36.1,17,20,29.56,0,0.86,0.88,16.97,20,7,0,97%,2.1,-0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.597,1.8,0.388,43,1.97, ,3,109.3,103.8,0,-5.5,213,65,31.8,$0,76%,38%,23%,13,29.2,3,$600,85%,45%,15%,80,
1/25/2018, , ,64.7,Bradley Beal,SG,$7200, , ,WAS,@OKC,34,48.3,19.7,-0.06,4.7,26.55,38.3,21,25,34.06,0,1.05,1.08,19.63,27.2,11,1,66%,2.05,-1.6,-0.4&nbsp;Cutler  Garretson  Zarba,0.564,1.9,0.362,65,1.57, ,3,104.8,109.8,0.5,5,214.5,32,40.8,$-200,84%,53%,15%,13,37.6,2.3,$200,79%,43%,19%,96,
1/25/2018, , ,63.9,Trey Lyles,SF/PF,$5200, , ,DEN,NYK,24.5,39.1,9.9,0.44,4.7,22.59,25.7,13,16,24.06,0,1,1.06,18.42,19.5,3,0,95%,3.27,-0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.614,2.7,0.281,37,0.65, ,3,109.3,103.8,0,-5.5,213,65,28.1,$700,85%,50%,14%,14,15.1,-1.2,$2200,61%,35%,38%,68,
1/25/2018, , ,63.75,Jarrett Jack,PG,$4600, , ,NYK,@DEN,21.9,38.1,5.7,0.84,4.8,18.19,28.2,17,20,21.06,0,0.83,0.91,11.88,18.3,4,1,55%,2.93,0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.492,2.4,0.113,69,0.73,1A,2,103.8,109.3,-1,5.5,213,35,25.9,$100,86%,60%,13%,15,21.9,2.6,$1400,85%,38%,14%,47,
1/25/2018, , ,63.35,Courtney Lee,SG/SF,$4800, , ,NYK,@DEN,22.9,36.2,9.6,0.84,4.8,17.72,34.6,17,20,22.06,0,0.76,0.71,14.41,17.2,5,1,55%,-0.18,0.1,-0.6&nbsp;Buchert  Foster  Taylor,0.576,1.7,0.316,43,1.5,1A,2,103.8,109.3,-1,5.5,213,35,24.9,$-300,93%,33%,6%,15,24.8,3.5,$800,85%,45%,14%,82,
1/25/2018, , ,63.1,Paul George,SF,$7600, , ,OKC,WAS,35.7,48.9,22.5,-0.37,4.7,25.09,35.8,21,25,36.07,0,1.05,1.1,18.31,24.6,12,1,86%,2.93,1.6,-0.4&nbsp;Cutler  Garretson  Zarba,0.571,3,0.387,54,2.32, ,2,109.8,104.8,0.5,-5,214.5,68,37.7,$500,83%,41%,16%,12,41.1,2.9,$-500,81%,52%,17%,86,
