Chicago Bulls,CHI,PG,62.1,73.2,65.3,37.6,9.0,13.6,2.8,0.2,4.2,51.0,87.0,4.2,1
Memphis Grizzlies,MEM,PG,54.4,73.1,59.1,43.8,7.8,10.2,2.4,0.8,5.2,42.0,82.0,4.4,2
Brooklyn Nets,BKN,PG,62.3,72.7,65.6,39.4,11.2,9.2,3.0,1.0,3.4,40.0,84.0,5.0,3
Detroit Pistons,DET,PG,62.0,70.0,64.7,30.2,11.6,12.4,2.0,2.2,3.8,39.0,82.0,4.6,4
Denver Nuggets,DEN,PG,61.2,67.3,61.5,30.4,9.2,12.8,4.0,0.6,3.6,40.0,47.0,6.0,5
Atlanta Hawks,ATL,PG,63.3,64.5,63.9,33.4,7.6,10.4,3.2,1.0,3.2,43.0,76.0,4.8,6
Minnesota Timberwolves,MIN,PG,64.7,64.1,56.7,30.8,9.6,12.0,2.4,0.8,3.2,47.0,77.0,6.2,7
New Orleans Pelicans,NOP,PG,58.9,62.3,59.9,33.6,7.8,9.6,3.2,0.2,5.2,46.0,80.0,5.0,8
Milwaukee Bucks,MIL,PG,61.1,62.3,63.6,30.2,10.0,9.6,2.2,1.4,4.0,41.0,66.0,6.4,9
Indiana Pacers,IND,PG,60.9,61.5,58.8,33.8,8.2,10.4,1.6,0.4,3.2,45.0,74.0,4.8,10
Cleveland Cavaliers,CLE,PG,61.6,61.0,61.8,29.4,7.6,11.2,3.0,0.6,3.2,36.0,78.0,5.6,11
Philadelphia 76ers,PHI,PG,61.2,60.9,58.5,28.4,8.8,10.4,3.6,0.2,2.8,30.0,81.0,3.4,12
Dallas Mavericks,DAL,PG,63.6,60.3,64.3,25.8,11.0,9.8,2.8,1.0,2.4,41.0,62.0,4.2,13
Phoenix Suns,PHX,PG,66.7,59.6,59.3,27.6,8.0,11.2,3.4,0.6,3.2,45.0,40.0,6.2,14
Los Angeles Lakers,LAL,PG,60.4,59.4,64.2,25.6,8.0,10.0,4.2,1.4,2.0,43.0,64.0,5.4,15
Los Angeles Clippers,LAC,PG,59.7,59.3,63.2,22.6,12.2,10.4,3.4,0.8,0.4,40.0,79.0,6.4,16
