"","Date","Opp","position","playerId","playerName","Rk","G","Age","Tm","X.nbsp.","X.nbsp.RP1","GS","MP","FG.x","FGA.x","FG.","X3P.x","X3PA.x","X3P.","FT.x","FTA.x","FT.","ORB.x","DRB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PTS.x","GmSc","plusMinus.x","DFS","G.","FG.y","FGA.y","FGP","X3P.y","X3PA.y","FT.y","FTA.y","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y","GMSC","plusMinus.y"
"1",2017-10-17,"BOS","C","loveke01","Kevin Love",1,1,"29-040","CLE","","W +3",1,28.24,4,9,0.444,1,4,0.25,6,7,0.857,3,8,11,0,0,0,2,2,15,11.6,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2017-10-17,"BOS","C","thomptr01","Tristan Thompson",1,1,"26-218","CLE","","W +3",0,19.36,2,3,0.667,0,0,0,1,3,0.333,1,5,6,2,0,0,2,3,5,3.3,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2017-10-17,"BOS","PF","greenje02","Jeff Green",1,1,"31-050","CLE","","W +3",0,14.14,3,8,0.375,0,1,0,0,0,0,0,0,0,0,0,0,1,3,6,-0.6,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2017-10-17,"BOS","PF","jamesle01","LeBron James",1,1,"32-291","CLE","","W +3",1,41.12,12,19,0.632,1,5,0.2,4,4,1,1,15,16,9,0,2,4,3,29,28.2,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2017-10-17,"BOS","PG","rosede01","Derrick Rose",1,1,"29-013","CLE","","W +3",1,31.15,5,14,0.357,1,3,0.333,3,4,0.75,1,3,4,2,0,0,2,2,14,6,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2017-10-17,"BOS","SF","crowdja01","Jae Crowder",1,1,"27-103","CLE","","W +3",1,34.44,3,10,0.3,1,5,0.2,4,4,1,1,4,5,2,2,0,1,2,11,8.7,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2017-10-17,"BOS","SG","smithjr01","J.R. Smith",1,1,"32-038","CLE","","W +3",0,21.55,4,7,0.571,1,3,0.333,1,1,1,0,4,4,1,0,0,0,4,10,7,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2017-10-17,"BOS","SG","korveky01","Kyle Korver",1,1,"36-214","CLE","","W +3",0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.8,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2017-10-17,"BOS","SG","shumpim01","Iman Shumpert",1,1,"27-113","CLE","","W +3",0,12.51,2,3,0.667,0,0,0,0,0,0,1,1,2,0,1,0,1,3,4,2.5,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2017-10-17,"BOS","SG","wadedw01","Dwyane Wade",1,1,"35-273","CLE","","W +3",1,28.3,3,10,0.3,0,1,0,2,2,1,1,1,2,3,0,2,4,1,8,2.3,0,"NULL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
