1/26/2018, , ,79.65,Tristan Thompson,PF/C,$3600, , ,CLE,IND,20.1,37,3.2,4.04,5.6,10.79,26.1,31,35,16.06,0,0.76,0.87,13.82,10.8,3,0,31%,4.67,-1,-0.5&nbsp;Mauer  Wood  Zielinski,0.609,3.7,0.212,25,1.08, ,3,114.3,108.8,0.8,-5.5,223,55,17.6,$100,91%,41%,8%,12,21.2,0.8,$-300,77%,30%,22%,72,
1/26/2018, , ,79.55,Dwight Howard,C,$8800, , ,CHA,ATL,44.6,68,21.2,2.53,5.1,22.51,34.7,13,16,42.07,0,1.22,1.23,18.88,22.5,10,1,98%,5.47,-1.1,-0.4&nbsp;Acosta  Lane  Phillips,0.558,3.8,0.344,45,2.2,1H,2,108.8,101.8,1,-7,210.5,64,41.4,$1600,91%,66%,8%,12,35.7,2,$2300,79%,41%,19%,84,
1/26/2018, , ,79.3,Shabazz Napier,PG/SG,$4400, , ,POR,@DAL,23.8,37.8,9.8,3.74,5.4,18.3,28.3,17,20,20.06,0,0.9,0.91,17.34,19.8,2,1,4%,4.54,-1.6,-0.5&nbsp;Adams  Mott  Orr,0.586,2,0.268,36,1.21, ,2,105.3,103.8,0.3,-1.5,209,64,24.2,$200,66%,46%,33%,15,15.8,-0.4,$1100,60%,38%,38%,70,
1/26/2018, , ,77.3,Domantas Sabonis,PF/C,$6300, , ,IND,@CLE,32.3,50.7,13.9,2.74,5.1,21.9,31.1,17,20,29.56,0,1.08,1.06,18.59,21.4,7,1,66%,3.99,1,-0.5&nbsp;Mauer  Wood  Zielinski,0.581,4.2,0.214,58,0.87,1A,2,108.8,114.3,0.3,5.5,223,45,29.7,$900,85%,42%,14%,14,20.6,0.9,$3100,73%,32%,25%,83,
1/26/2018, , ,77.25,Kyle Lowry,PG,$7200, , ,TOR,UTA,35.8,51.7,19.9,1.74,5,25.19,33.4,13,16,34.06,0,1.15,1.13,19.25,22.8,10,1,90%,2.15,-3.7,-0.8&nbsp;Callahan  Forte  Goble,0.594,2.5,0.216,77,1.35, ,2,108.3,100.3,1,-8,208.5,73,37.5,$-400,81%,45%,18%,11,38.2,0.7,$-700,79%,44%,20%,63,
1/26/2018, , ,75.4,John Henson,C,$4900, , ,MIL,BKN,24.6,41.5,7.7,2.04,5,14.66,30,9,12,22.56,0,0.9,0.87,15.63,14.7,5,0,95%,6.44,4,-0.7&nbsp;Fitzgerald  Lewis  Smith,0.594,4,0.297,29,2.02, ,4,108.5,103,-1.3,-5.5,211.5,53,23.7,$100,92%,35%,7%,14,20.5,2.2,$1400,81%,42%,18%,64,
1/26/2018, , ,75.3,Michael Kidd-Gilchrist,SF,$4000, , ,CHA,ATL,20,34.3,5.7,1.94,5,16.08,26.2,9,12,18.06,0,0.78,0.8,14.08,16,1,1,97%,4.21,-1.1,-0.4&nbsp;Acosta  Lane  Phillips,0.533,2.8,0.384,26,1.72,1H,2,108.8,101.8,1,-7,210.5,64,19.6,$-100,72%,18%,27%,11,21.7,1.1,$-500,75%,27%,24%,74,
1/26/2018, , ,75.1,Wesley Matthews,SG/SF,$5300, , ,DAL,POR,27.3,41.5,13.1,2.74,5.2,23.31,34.9,13,16,24.56,0,0.7,0.84,11.48,16.6,7,1,55%,1.24,1.6,-0.5&nbsp;Adams  Mott  Orr,0.552,2.3,0.27,47,1.13,1H,2,103.8,105.3,0.3,1.5,209,36,29.2,$900,92%,53%,7%,13,24.2,2,$400,74%,35%,25%,78,
1/26/2018, , ,73.5,Jrue Holiday,PG/SG,$6900, , ,NOP,HOU,33.4,46.7,20.1,0.84,4.8,23.2,34.6,9,12,32.56,0,0.96,0.97,16.75,21.6,12,1,95%,5,-0.5,-0.5&nbsp;Fraher  Goble  Scott,0.578,2.3,0.241,77,2.14, ,2,111.3,115.8,-2,4.5,227,33,37,$-800,92%,50%,7%,14,36,3.2,$-100,84%,43%,15%,83,
1/26/2018, , ,72.85,Donovan Mitchell,PG/SG,$6700, , ,UTA,@TOR,32.8,49.7,15.9,1.24,4.9,30.45,35.5,9,12,31.56,0,1.01,1.02,16.76,27.3,10,1,66%,2.95,3.7,-0.8&nbsp;Callahan  Forte  Goble,0.546,3.5,0.312,61,1.93, ,2,100.3,108.3,0.5,8,208.5,27,36.5,$-300,92%,30%,7%,13,32.1,3.1,$2800,84%,43%,15%,46,
