Oklahoma City Thunder,OKC,PG,60.4,69.9,63.6,41.8,9.8,9.6,1.6,0.6,6.2,50.0,77.0,6.4,1
Chicago Bulls,CHI,PG,62.4,68.8,62.2,29.0,10.2,15.2,3.0,0.2,3.4,44.0,49.0,4.2,2
Atlanta Hawks,ATL,PG,64.5,67.9,65.8,36.6,9.4,10.2,2.0,1.4,3.0,46.0,76.0,5.0,3
Philadelphia 76ers,PHI,PG,61.9,66.9,60.8,32.2,9.0,12.2,3.0,0.6,3.6,32.0,78.0,4.0,4
Minnesota Timberwolves,MIN,PG,69.7,66.9,70.8,32.6,8.0,13.6,2.8,0.6,3.2,46.0,61.0,5.8,5
Memphis Grizzlies,MEM,PG,54.6,66.6,62.8,40.2,8.6,8.4,2.6,0.2,4.4,40.0,80.0,5.2,6
Washington Wizards,WAS,PG,58.7,65.2,53.7,31.6,10.4,11.0,2.6,0.6,3.6,40.0,75.0,4.6,7
Milwaukee Bucks,MIL,PG,60.1,64.8,59.5,30.2,10.4,9.8,2.6,1.8,3.4,44.0,66.0,6.2,8
Cleveland Cavaliers,CLE,PG,63.2,64.3,63.0,31.0,8.4,11.4,3.0,1.0,3.2,42.0,84.0,6.4,9
Brooklyn Nets,BKN,PG,58.9,64.0,54.9,32.6,9.2,9.6,3.6,0.4,2.2,39.0,89.0,5.0,10
New York Knicks,NYK,PG,60.0,64.0,56.3,27.0,10.0,11.2,3.2,1.6,3.2,39.0,91.0,5.0,11
Miami Heat,MIA,PG,58.6,63.3,59.2,33.8,10.6,7.0,3.6,0.4,3.6,38.0,84.0,4.6,12
New Orleans Pelicans,NOP,PG,56.6,61.8,53.4,30.4,9.0,9.8,3.2,0.8,4.0,37.0,80.0,5.2,13
Utah Jazz,UTA,PG,55.7,60.0,60.0,35.6,8.0,8.2,1.4,1.0,3.6,51.0,83.0,6.6,14
Los Angeles Lakers,LAL,PG,59.9,59.0,64.8,29.4,9.6,6.8,3.2,1.6,2.6,38.0,70.0,4.4,15
Indiana Pacers,IND,PG,61.8,58.9,61.7,29.6,7.2,10.2,3.0,0.6,2.6,47.0,49.0,5.0,16
Los Angeles Clippers,LAC,PG,59.6,58.8,65.3,24.2,11.0,10.8,3.6,0.2,1.4,42.0,77.0,6.4,17
