"","NewOffense$playerName","Pos"
"1","Dennis Schroder","PG"
"8","Marco Belinelli","SG"
"17","Kent Bazemore","SG"
"26","Malcolm Delaney","PG"
"34","Taurean Prince","SF"
"43","DeAndre Bembry","SF"
"44","Nicolas Brussino","SF"
"47","John Collins","PF"
"56","Tyler Dorsey","SG"
"61","Dewayne Dedmon","C"
"70","Ersan Ilyasova","PF"
"74","Mike Muscala","C"
"83","Luke Babbitt","SF"
"92","Isaiah Taylor","PG"
"99","Kyrie Irving","PG"
"108","Marcus Morris","F"
"109","Marcus Smart","SG"
"116","Terry Rozier","PG"
"125","Al Horford","C"
"134","Jaylen Brown","SF"
"143","Jayson Tatum","SF"
"152","Gordon Hayward","SF"
"153","Abdel Nader","SF"
"158","Semi Ojeleye","PF"
"166","Aron Baynes","C"
"175","Guerschon Yabusele","PF"
"179","Daniel Theis","C"
"187","Shane Larkin","PG"
"194","Jabari Bird","SG"
"196","Quincy Pondexter","SF"
"203","Jerian Grant","PG"
"211","Robin Lopez","C"
"219","Denzel Valentine","SG"
"227","Paul Zipser","SF"
"234","Kris Dunn","PG"
"238","Kay Felder","PG"
"244","David Nwaba","SG"
"252","Lauri Markkanen","PF"
"260","Cristiano Felicio","C"
"268","Justin Holiday","SG"
"276","Ryan Arcidiacono","PG"
"277","Antonio Blakeney","SG"
"278","Channing Frye","C"
"286","Jae Crowder","SF"
"295","Kevin Love","C"
"304","Iman Shumpert","SG"
"310","Tristan Thompson","C"
"318","LeBron James","PF"
"327","J.R. Smith","SG"
"336","Ante Zizic","C"
"340","Jose Calderon","PG"
"346","Jeff Green","PF"
"355","Kyle Korver","SG"
"364","Cedi Osman","SF"
"369","Derrick Rose","PG"
"374","Dwyane Wade","SG"
"382","Devin Harris","PG"
"389","Wesley Matthews","SG"
"400","J.J. Barea","PG"
"411","Salah Mejri","C"
"418","Harrison Barnes","PF"
"429","Dwight Powell","C"
"440","Dorian Finney-Smith","PF"
"445","Yogi Ferrell","SG"
"456","Dennis Smith Jr.","PG"
"465","Dirk Nowitzki","C"
"476","Maxi Kleber","PF"
"482","Jeff Withey","C"
"487","Nerlens Noel","C"
"498","Gian Clavell","SG"
"504","Wilson Chandler","SF"
"514","Kenneth Faried","PF"
"523","Gary Harris","SG"
"533","Emmanuel Mudiay","PG"
"543","Trey Lyles","PF"
"549","Nikola Jokic","C"
"559","Will Barton","SG"
"569","Darrell Arthur","PF"
"571","Malik Beasley","SG"
"581","Jamal Murray","PG"
"591","Juan Hernangomez","PF"
"593","Paul Millsap","PF"
"603","Mason Plumlee","C"
"613","Richard Jefferson","SF"
"616","Avery Bradley","SG"
"626","Stanley Johnson","SF"
