"","NewOffense$playerName","Pos"
"1","Dennis Schroder","PG"
"14","Marco Belinelli","SG"
"29","Kent Bazemore","SG"
"44","Malcolm Delaney","PG"
"57","Taurean Prince","SF"
"72","DeAndre Bembry","SF"
"73","Nicolas Brussino","SF"
"77","John Collins","PF"
"92","Tyler Dorsey","SG"
"98","Dewayne Dedmon","C"
"113","Ersan Ilyasova","PF"
"118","Mike Muscala","C"
"127","Luke Babbitt","SF"
"142","Isaiah Taylor","PG"
"155","Tyler Cavanaugh","PF"
"161","Kyrie Irving","PG"
"176","Marcus Morris","SF"
"183","Marcus Smart","SG"
"197","Terry Rozier","PG"
"213","Al Horford","C"
"227","Jaylen Brown","SF"
"243","Jayson Tatum","SF"
"259","Gordon Hayward","SF"
"260","Abdel Nader","SF"
"268","Semi Ojeleye","PF"
"283","Aron Baynes","C"
"299","Guerschon Yabusele","PF"
"305","Daniel Theis","C"
"320","Shane Larkin","PG"
"333","Jabari Bird","SG"
"335","Quincy Pondexter","SF"
"346","Jerian Grant","PG"
"359","Bobby Portis","PF"
"364","Robin Lopez","C"
"377","Denzel Valentine","SG"
"390","Paul Zipser","SF"
"402","Kris Dunn","PG"
"411","Kay Felder","PG"
"421","David Nwaba","SG"
"429","Lauri Markkanen","PF"
"442","Cristiano Felicio","C"
"455","Justin Holiday","SG"
"467","Ryan Arcidiacono","PG"
"468","Antonio Blakeney","SG"
"471","Channing Frye","C"
"485","Jae Crowder","SF"
"501","Kevin Love","C"
"517","Iman Shumpert","SG"
"529","Tristan Thompson","C"
"537","LeBron James","PF"
"553","J.R. Smith","SG"
"569","Ante Zizic","C"
"574","Jose Calderon","PG"
"581","Jeff Green","PF"
"597","Kyle Korver","SG"
"613","Cedi Osman","SF"
"621","Derrick Rose","PG"
"628","Dwyane Wade","SG"
"643","Devin Harris","PG"
"653","Wesley Matthews","SG"
"669","J.J. Barea","PG"
"685","Salah Mejri","C"
"697","Harrison Barnes","PF"
"713","Dwight Powell","C"
"728","Dorian Finney-Smith","PF"
"736","Yogi Ferrell","SG"
"752","Dennis Smith Jr.","PG"
"766","Dirk Nowitzki","C"
"782","Maxi Kleber","PF"
"792","Jeff Withey","C"
"798","Nerlens Noel","C"
"813","Gian Clavell","SG"
"820","Wilson Chandler","SF"
"835","Kenneth Faried","PF"
"848","Gary Harris","SG"
"861","Emmanuel Mudiay","PG"
"876","Trey Lyles","PF"
"886","Nikola Jokic","C"
"901","Will Barton","SG"
"916","Darrell Arthur","PF"
"918","Malik Beasley","SG"
"933","Jamal Murray","PG"
"948","Juan Hernangomez","PF"
"952","Paul Millsap","PF"
"967","Mason Plumlee","C"
"982","Richard Jefferson","SF"
"986","Avery Bradley","SG"
"1001","Stanley Johnson","SF"
"1013","Tobias Harris","PF"
"1028","Reggie Jackson","PG"
"1043","Jon Leuer","PF"
"1051","Ish Smith","PG"
"1066","Andre Drummond","C"
"1081","Boban Marjanovic","C"
"1083","Henry Ellenson","PF"
"1088","Luke Kennard","SG"
"1098","Langston Galloway","SG"
"1112","Eric Moreland","PF"
"1124","Reggie Bullock","SF"
"1132","Anthony Tolliver","PF"
"1144","Klay Thompson","SG"
"1159","Kevon Looney","C"
"1167","Draymond Green","PF"
"1182","Patrick McCaw","SG"
"1195","Jordan Bell","C"
"1206","Stephen Curry","PG"
"1220","Kevin Durant","SF"
"1234","Andre Iguodala","SF"
"1247","Shaun Livingston","PG"
"1260","Nick Young","SG"
"1274","Zaza Pachulia","C"
"1289","Omri Casspi","SF"
"1301","David West","C"
"1315","JaVale McGee","C"
"1328","Quinn Cook","PG"
"1330","James Harden","SG"
"1346","Trevor Ariza","SF"
"1360","Chris Paul","PG"
"1362","Clint Capela","C"
"1378","Ryan Anderson","PF"
"1394","Eric Gordon","SG"
"1409","Nene","C"
"1420","P.J. Tucker","SF"
"1436","Tarik Black","C"
"1447","Luc Mbah a Moute","PF"
"1461","Troy Williams","SF"
"1463","Zhou Qi","C"
"1472","Bobby Brown","PG"
"1483","Demetrius Jackson","PG"
"1494","Victor Oladipo","SG"
"1510","Myles Turner","C"
"1519","Thaddeus Young","PF"
"1535","Cory Joseph","PG"
"1551","Joe Young","PG"
"1560","Al Jefferson","C"
"1570","Domantas Sabonis","PF"
"1584","Lance Stephenson","SG"
"1600","T.J. Leaf","PF"
"1615","Bojan Bogdanovic","SF"
"1631","Ike Anigbogu","C"
"1637","Darren Collison","PG"
"1653","Damien Wilkins","SF"
"1662","Alex Poythress","PF"
"1668","Sam Dekker","SF"
"1679","Patrick Beverley","SG"
"1689","DeAndre Jordan","C"
"1703","Lou Williams","SG"
"1717","Montrezl Harrell","C"
"1726","Austin Rivers","SG"
"1740","Wesley Johnson","SF"
"1754","Brice Johnson","PF"
"1759","Danilo Gallinari","SF"
"1768","Milos Teodosic","PG"
"1770","Jawun Evans","PG"
"1777","Blake Griffin","PF"
"1791","Sindarius Thornwell","SG"
"1805","Willie Reed","C"
"1818","C.J. Williams","SG"
"1820","Julius Randle","C"
"1836","Larry Nance Jr.","PF"
"1844","Brook Lopez","C"
"1860","Corey Brewer","SF"
"1876","Luol Deng","SF"
"1877","Ivica Zubac","C"
"1879","Jordan Clarkson","SG"
"1895","Brandon Ingram","SF"
"1911","Lonzo Ball","PG"
"1927","Kyle Kuzma","PF"
"1943","Josh Hart","SG"
"1954","Kentavious Caldwell-Pope","SG"
"1968","Tyler Ennis","PG"
"1977","Andrew Bogut","C"
"1987","Vander Blue","SG"
"1991","Marc Gasol","C"
"2005","Jarell Martin","PF"
"2018","Brandan Wright","PF"
"2032","Chandler Parsons","SF"
"2044","Andrew Harrison","PG"
"2054","Mike Conley","PG"
"2066","James Ennis","SF"
"2080","Deyonta Davis","C"
"2082","Ben McLemore","SG"
"2085","Tyreke Evans","SG"
"2099","Wayne Selden","SG"
"2101","Mario Chalmers","PG"
"2115","Dillon Brooks","SF"
"2129","Ivan Rabb","PF"
"2130","JaMychal Green","PF"
"2132","Justise Winslow","SF"
"2147","Goran Dragic","PG"
"2162","Josh Richardson","SF"
"2177","Tyler Johnson","PG"
"2191","Hassan Whiteside","C"
"2201","Wayne Ellington","SG"
"2216","Okaro White","PF"
"2222","Bam Adebayo","C"
"2231","James Johnson","PF"
"2245","Dion Waiters","SG"
"2258","Kelly Olynyk","PF"
"2273","Jordan Mickey","PF"
"2275","Derrick Walton","PG"
"2276","Eric Bledsoe","PG"
"2283","John Henson","C"
"2297","Giannis Antetokounmpo","PF"
"2311","Rashad Vaughn","SG"
"2317","Khris Middleton","SF"
"2331","Mirza Teletovic","PF"
"2341","Matthew Dellavedova","PG"
"2354","Thon Maker","C"
"2368","Malcolm Brogdon","PG"
"2381","D.J. Wilson","PF"
"2386","Sterling Brown","SG"
"2389","Tony Snell","SG"
"2403","Jason Terry","SG"
"2407","DeAndre Liggins","SG"
"2418","Gary Payton II","PG"
"2419","Gorgui Dieng","C"
"2431","Andrew Wiggins","SF"
"2446","Karl-Anthony Towns","C"
"2461","Tyus Jones","PG"
"2476","Jimmy Butler","SG"
"2489","Nemanja Bjelica","PF"
"2504","Cole Aldrich","C"
"2508","Jeff Teague","PG"
"2523","Taj Gibson","PF"
"2538","Jamal Crawford","SG"
"2553","Marcus Georges-Hunt","SG"
"2560","Shabazz Muhammad","SF"
"2575","Aaron Brooks","PG"
"2581","Doug McDermott","SF"
"2596","Kristaps Porzingis","PF"
"2610","Kyle OQuinn","C"
"2625","Enes Kanter","C"
"2640","Courtney Lee","SG"
"2655","Lance Thomas","PF"
"2667","Willy Hernangomez","C"
"2675","Frank Ntilikina","PG"
"2688","Tim Hardaway","SG"
"2703","Ron Baker","SG"
"2706","Damyean Dotson","SG"
"2715","Michael Beasley","PF"
"2726","Ramon Sessions","PG"
"2731","Jarrett Jack","PG"
"2744","Paul George","SF"
"2759","Carmelo Anthony","SF"
"2773","Russell Westbrook","PG"
"2788","Steven Adams","C"
"2800","Jerami Grant","PF"
"2815","Kyle Singler","SF"
"2816","Josh Huestis","PF"
"2828","Alex Abrines","SG"
"2843","Patrick Patterson","PF"
"2858","Raymond Felton","PG"
"2873","Andre Roberson","SF"
"2888","Dakari Johnson","C"
"2895","Nick Collison","PF"
"2896","Terrance Ferguson","SG"
"2906","Daniel Hamilton","SG"
"2907","Nikola Vucevic","C"
"2922","Terrence Ross","SG"
"2937","Aaron Gordon","PF"
"2950","Elfrid Payton","PG"
"2956","Mario Hezonja","SF"
"2969","Bismack Biyombo","C"
"2984","D.J. Augustin","PG"
"2992","Evan Fournier","SF"
"3007","Jonathan Isaac","PF"
"3019","Jonathon Simmons","SG"
"3034","Wesley Iwundu","SF"
"3039","Marreese Speights","C"
"3050","Arron Afflalo","SG"
"3060","Khem Birch","C"
"3062","Shelvin Mack","PG"
"3076","Nik Stauskas","SG"
"3079","Joel Embiid","C"
"3091","Robert Covington","PF"
"3105","Jahlil Okafor","C"
"3107","Justin Anderson","SF"
"3117","Richaun Holmes","C"
"3122","Ben Simmons","PG"
"3136","Timothe Luwawu-Cabarrot","SF"
"3149","Dario Saric","PF"
"3163","Jerryd Bayless","SG"
"3172","T.J. McConnell","PG"
"3186","Furkan Korkmaz","SG"
"3187","Amir Johnson","C"
"3200","J.J. Redick","SG"
"3212","Markelle Fultz","SG"
"3216","James Michael McAdoo","PF"
"3217","T.J. Warren","SF"
"3234","Devin Booker","SG"
"3251","Tyson Chandler","C"
"3264","Greg Monroe","C"
"3271","Troy Daniels","SG"
"3288","Jared Dudley","PF"
"3293","Dragan Bender","PF"
"3310","Marquese Chriss","PF"
"3327","Tyler Ulis","PG"
"3343","Derrick Jones","SF"
"3348","Josh Jackson","SF"
"3365","Mike James","PG"
"3382","Alex Len","C"
"3398","Alec Peters","PF"
"3400","Damian Lillard","PG"
"3415","C.J. McCollum","SG"
"3429","Shabazz Napier","PG"
"3440","Noah Vonleh","PF"
"3448","Jusuf Nurkic","C"
"3463","Al-Farouq Aminu","PF"
"3471","Ed Davis","PF"
"3486","Pat Connaughton","SG"
"3501","Evan Turner","SF"
"3516","Jake Layman","SF"
"3520","Meyers Leonard","PF"
"3523","Maurice Harkless","SF"
"3538","Zach Collins","C"
"3542","Caleb Swanigan","PF"
"3553","Willie Cauley-Stein","C"
"3568","Kosta Koufos","C"
"3583","Garrett Temple","SG"
"3597","Georgios Papagiannis","C"
"3601","Malachi Richardson","SG"
"3609","Skal Labissiere","PF"
"3624","Buddy Hield","SG"
"3639","Justin Jackson","SF"
"3653","Vince Carter","SF"
"3662","Zach Randolph","PF"
"3675","George Hill","PG"
"3688","DeAaron Fox","PG"
"3703","Bogdan Bogdanovic","SG"
"3715","Frank Mason III","PG"
"3723","JaKarr Sampson","SF"
"3725","Kyle Anderson","SF"
"3741","Danny Green","SG"
"3756","LaMarcus Aldridge","PF"
"3772","Dejounte Murray","PG"
"3788","Bryn Forbes","SG"
"3804","Davis Bertans","PF"
"3816","Rudy Gay","SF"
"3832","Derrick White","PG"
"3836","Brandon Paul","SG"
"3852","Joffrey Lauvergne","C"
"3858","Pau Gasol","C"
"3874","Patty Mills","PG"
"3890","Manu Ginobili","SG"
"3903","Darrun Hilliard","SG"
"3906","Matt Costello","C"
"3907","Lucas Nogueira","C"
"3919","Jonas Valanciunas","C"
"3930","Bruno Caboclo","SF"
"3932","Delon Wright","PG"
"3946","Norman Powell","SG"
"3958","DeMar DeRozan","SG"
"3973","Jakob Poeltl","C"
"3988","Pascal Siakam","PF"
"4002","Fred VanVleet","PG"
"4017","OG Anunoby","SF"
"4032","Alfonzo McKinnie","SF"
"4038","C.J. Miles","SF"
"4052","Kyle Lowry","PG"
"4067","Serge Ibaka","PF"
"4080","Lorenzo Brown","G"
"4081","Rudy Gobert","C"
"4093","Ricky Rubio","PG"
"4108","Derrick Favors","PF"
"4124","Alec Burks","SG"
"4139","Rodney Hood","SG"
"4153","Raul Neto","PG"
"4162","Joe Johnson","SF"
"4169","Donovan Mitchell","SG"
"4185","Tony Bradley","C"
"4187","Jonas Jerebko","PF"
"4198","Thabo Sefolosha","SF"
"4213","Royce ONeale","SF"
"4220","Ekpe Udoh","C"
"4236","Joe Ingles","SF"
"4252","Nate Wolters","G"
"4253","Marcin Gortat","C"
"4268","Markieff Morris","PF"
"4276","John Wall","PG"
"4290","Kelly Oubre Jr.","SF"
"4305","Chris McCullough","PF"
"4308","Ian Mahinmi","C"
"4323","Jason Smith","C"
"4330","Tomas Satoransky","SG"
"4338","Tim Frazier","PG"
"4353","Bradley Beal","SG"
"4368","Otto Porter","SF"
"4382","Mike Scott","PF"
"4396","Jodie Meeks","SG"
"4411","DAngelo Russell","PG"
"4423","Rondae Hollis-Jefferson","SF"
"4437","DeMarre Carroll","SF"
"4451","Sean Kilpatrick","SG"
"4459","Jeremy Lin","PG"
"4460","Timofey Mozgov","C"
"4474","Trevor Booker","PF"
"4485","Allen Crabbe","SG"
"4500","Isaiah Whitehead","PG"
"4505","Caris LeVert","SF"
"4520","Joe Harris","SG"
"4534","Spencer Dinwiddie","PG"
"4548","Quincy Acy","PF"
"4560","Jarrett Allen","C"
"4567","Tyler Zeller","C"
"4574","Jacob Wiley","PF"
"4578","Michael Kidd-Gilchrist","SF"
"4586","Kemba Walker","PG"
"4600","Cody Zeller","C"
"4610","Jeremy Lamb","SG"
"4624","Frank Kaminsky","PF"
"4637","Nicolas Batum","SG"
"4639","Marvin Williams","PF"
"4653","Dwight Howard","C"
"4667","Treveon Graham","SG"
"4677","Johnny OBryant","PF"
"4683","Malik Monk","SG"
"4697","Michael Carter-Williams","PG"
"4700","Dwayne Bacon","SG"
"4714","Julyan Stone","SG"
"4716","Marcus Paige","PG"
"4717","Mangok Mathiang","C"
"4718","Anthony Davis","PF"
"4733","DeMarcus Cousins","C"
"4749","ETwaun Moore","SG"
"4765","Cheick Diallo","PF"
"4775","Jrue Holiday","PG"
"4791","Rajon Rondo","PG"
"4794","Darius Miller","SF"
"4810","Ian Clark","SG"
"4824","Tony Allen","SG"
"4836","Dante Cunningham","SF"
"4852","Charles Cooke","SG"
"4854","Jameer Nelson","PG"
"4868","Jalen Jones","SF"
